Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
11,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 4 km (4:09/km) 1 km (recovery jog) 4 km (4:09/km),Recovery Run; 12 km; repetition 2-3,Threshold Intervals; 3 x 1.5 km (3:55/km) / 1 km recovery jog,Recovery Run; 12 km; repetition 2-3,Day Off,Long Run; 17 km repetition 3-4 5 km race pace (4:09/km); Total: 22 km
12,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 5 km (4:09/km) 1 km (recovery jog) 5 km (4:09/km),Recovery Run; 12 km; repetition 2-3,Threshold Intervals; 3 x 1.5 km (3:55/km) / 1 km recovery jog,Recovery Run; 12 km; repetition 2-3,Day Off,Long Run; 18 km repetition 3-4 6 km race pace (4:09/km); Total: 24 km
13,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 5 km (4:09/km) 1 km (recovery jog) 5 km (4:09/km),Recovery Run; 12 km; repetition 2-3,Threshold Intervals; 3 x 1.5 km (3:55/km) / 1 km recovery jog,Recovery Run; 12 km; repetition 2-3,Day Off,Long Run; 26 km; repetition 3-4
14,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 5 km (4:09/km) 1 km (recovery jog) 5 km (4:09/km),Recovery Run; 12 km; repetition 2-3,Tempo Run; Tempo 5 km (repetition 6-7),Recovery Run; 12 km; repetition 2-3,Day Off,Long Run; 18 km repetition 3-4 7 km race pace (4:09/km); Total: 25 km
15,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 6 km (4:09/km),Recovery Run; 12 km; repetition 2-3,Tempo Run; Tempo 6 km (repetition 6-7),Recovery Run; 12 km; repetition 2-3,Day Off,Long Run; 10 km repetition 3-4; 5 km race pace (4:09/km) 7 km repetition 3-4 5 km race pace (4:09/km); Total: 27 km
16,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 7 km (4:09/km),Recovery Run; 12 km; repetition 2-3,Tempo Run; Tempo 8 km (repetition 6-7),Recovery Run; 12 km; repetition 2-3,Day Off,Long Run; 10 km repetition 3-4; 6 km race pace (4:09/km) 6 km repetition 3-4 7 km race pace (4:09/km); Total: 29 km
17,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 8 km (4:09/km),Recovery Run; 12 km; repetition 2-3,Tempo Run; Tempo 8 km (repetition 6-7),Recovery Run; 12 km; repetition 2-3,Day Off,Long Run; 34 km; repetition 3-4
18,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 6 km (4:09/km),Recovery Run; 11 km; repetition 2-3,Threshold Intervals; 3 x 1.5 km (3:55/km) / 1 km recovery jog,Recovery Run; 11 km; repetition 2-3,Day Off,Long Run; 21 km; repetition 3-4
19,Recovery Run or XT; 6 km or 45 min; repetition 2-3,Race Pace Run; 5 km (4:09/km),Recovery Run; 10 km; repetition 2-3,Threshold Intervals; 2 x 1.5 km (3:55/km) / 1 km recovery jog,Recovery Run; 10 km; repetition 2-3,Day Off,Long Run; 10 km repetition 3-4 6 km race pace (4:09/km); Total: 16 km
20,Day Off,Race Pace Run; 5 km (4:09/km),Recovery Run; 6 km; repetition 2-3,Easy Run with Strides; 8 km; 10 x 10 sec strides; repetition 3,Day Off,Shake Out Run; 5 km; repetition 1-2,MARATHON DAY; 42 km; (4:09/km)
